Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,,Exchange
YI,"111, Inc.",6.5,$530.04M,2018,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi,,NASDAQ
PIH,"1347 Property Insurance Holdings, Inc.",4.406,$26.4M,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih,,NASDAQ
PIHPP,"1347 Property Insurance Holdings, Inc.",23.6,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp,,NASDAQ
TURN,180 Degree Capital Corp.,1.9099,$59.44M,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn,,NASDAQ
FLWS,"1-800 FLOWERS.COM, Inc.",12.64,$811.21M,1999,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws,,NASDAQ
FCCY,1st Constitution Bancorp (NJ),19.03,$159.93M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy,,NASDAQ
SRCE,1st Source Corporation,43.18,$1.12B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/srce,,NASDAQ
VNET,"21Vianet Group, Inc.",9.47,$1.06B,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet,,NASDAQ
TWOU,"2U, Inc.",55.39,$3.21B,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou,,NASDAQ
QFIN,"360 Finance, Inc.",16.5,$2.37B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/qfin,,NASDAQ
TPNL,"3PEA International, Inc.",3.59,$166.58M,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/tpnl,,NASDAQ
JOBS,"51job, Inc.",68.49,$4.23B,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs,,NASDAQ
AAON,"AAON, Inc.",35.3,$1.84B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon,,NASDAQ
ABEO,Abeona Therapeutics Inc.,7.365,$353.11M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo,,NASDAQ
ABEOW,Abeona Therapeutics Inc.,3.4,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow,,NASDAQ
ABIL,Ability Inc.,2.24,$8.21M,2014,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil,,NASDAQ
ABMD,"ABIOMED, Inc.",316.19,$14.24B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd,,NASDAQ
AXAS,Abraxas Petroleum Corporation,1.25,$208.26M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas,,NASDAQ
ACIU,AC Immune SA,11.19,$753.79M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu,,NASDAQ
ACIA,"Acacia Communications, Inc.",41.01,$1.66B,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia,,NASDAQ
ACTG,Acacia Research Corporation,2.99,$148.42M,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg,,NASDAQ
ACHC,"Acadia Healthcare Company, Inc.",28.93,$2.55B,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc,,NASDAQ
ACAD,ACADIA Pharmaceuticals Inc.,17.67,$2.21B,2004,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad,,NASDAQ
ACST,"Acasti Pharma, Inc.",0.66,$51.56M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst,,NASDAQ
AXDX,"Accelerate Diagnostics, Inc.",12.89,$698.62M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/axdx,,NASDAQ
XLRN,Acceleron Pharma Inc.,45.3,$2.09B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xlrn,,NASDAQ
ANCX,Access National Corporation,22.45,$469.94M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/ancx,,NASDAQ
ARAY,Accuray Incorporated,3.78,$327.57M,2007,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/aray,,NASDAQ
ACRX,"AcelRx Pharmaceuticals, Inc.",2.78,$172.1M,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrx,,NASDAQ
ACER,Acer Therapeutics Inc.,17.88,$179.75M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer,,NASDAQ
ACET,Aceto Corporation,1.39,$42.76M,n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/acet,,NASDAQ
AKAO,"Achaogen, Inc.",1.62,$74.71M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akao,,NASDAQ
ACHV,"Achieve Life Sciences, Inc. ",1.45,$9.75M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv,,NASDAQ
ACHN,"Achillion Pharmaceuticals, Inc.",3.11,$431.1M,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/achn,,NASDAQ
ACIW,"ACI Worldwide, Inc.",27.47,$3.19B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw,,NASDAQ
ACRS,"Aclaris Therapeutics, Inc.",7.31,$299.24M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrs,,NASDAQ
ACMR,"ACM Research, Inc.",10.41,$166.6M,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr,,NASDAQ
ACNB,ACNB Corporation,36.21,$255M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acnb,,NASDAQ
ACOR,"Acorda Therapeutics, Inc.",16.18,$769.49M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/acor,,NASDAQ
ATVI,"Activision Blizzard, Inc",47.75,$36.44B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/atvi,,NASDAQ
ADMS,"Adamas Pharmaceuticals, Inc.",9.3,$254.22M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adms,,NASDAQ
ADMP,Adamis Pharmaceuticals Corporation,2.81,$132.89M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/admp,,NASDAQ
ADAP,Adaptimmune Therapeutics plc,5.16,$539.58M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adap,,NASDAQ
ADUS,Addus HomeCare Corporation,72.94,$955.39M,2009,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/adus,,NASDAQ
AEY,"ADDvantage Technologies Group, Inc.",1.29,$13.29M,n/a,Consumer Services,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/aey,,NASDAQ
